,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed (mph),Country,Date
0,Qinhuangdao,39.9317,119.5883,69.96,25,4,15.12,CN,1620357497
1,Bredasdorp,-34.5322,20.0403,60.8,88,83,11.5,ZA,1620357418
2,Nikolskoye,59.7035,30.7861,42.8,87,90,4.47,RU,1620357385
3,Mataura,-46.1927,168.8643,57.99,79,73,0.13,NZ,1620357406
4,Punta Arenas,-53.15,-70.9167,42.8,87,75,9.22,CL,1620357269
5,Albany,42.6001,-73.9662,50.0,66,100,5.14,US,1620357398
6,Geraldton,-28.7667,114.6,71.6,64,4,17.27,AU,1620357453
7,Ushuaia,-54.8,-68.3,41.0,75,40,5.57,AR,1620357369
8,Cherskiy,68.75,161.3,30.94,89,100,3.36,RU,1620357429
9,Manono,-7.3,27.4167,67.35,89,79,2.64,CD,1620357498
10,Mossamedes,-15.1961,12.1522,74.35,86,43,5.06,AO,1620357499
11,Mar del Plata,-38.0023,-57.5575,54.0,87,20,3.44,AR,1620357366
12,Barra do Garças,-15.89,-52.2567,63.91,68,8,5.41,BR,1620357421
13,Acurenam,1.0322,10.6488,68.13,99,100,2.06,GQ,1620357489
14,Kaitangata,-46.2817,169.8464,61.0,62,68,4.0,NZ,1620357379
15,Bambous Virieux,-20.3428,57.7575,73.0,100,75,3.44,MU,1620357422
16,Manokwari,-0.8667,134.0833,84.22,71,87,5.61,ID,1620357274
17,Tupik,54.4253,119.9327,43.86,61,78,11.99,RU,1620357500
18,Carnarvon,-24.8667,113.6333,75.2,60,1,13.8,AU,1620357298
19,Sakaiminato,35.55,133.2333,73.4,46,75,18.41,JP,1620357500
20,Mayo,38.8876,-76.5119,54.0,76,1,4.97,US,1620357500
21,Cidreira,-30.1811,-50.2056,58.28,73,36,10.69,BR,1620357410
22,Hobart,-42.8794,147.3294,71.01,52,75,17.27,AU,1620357080
23,Gimli,50.6336,-96.9907,41.0,56,10,10.36,CA,1620357462
24,Kavieng,-2.5744,150.7967,84.13,73,21,5.88,PG,1620357501
25,Vila Velha,-20.3297,-40.2925,73.4,88,0,2.3,BR,1620357490
26,Saldanha,-33.0117,17.9442,59.0,88,76,5.75,ZA,1620357502
27,Narsaq,60.9167,-46.05,35.6,75,75,4.61,GL,1620357487
28,Caruray,10.3094,119.0128,91.4,66,20,11.5,PH,1620357502
29,Tuktoyaktuk,69.4541,-133.0374,28.4,86,90,14.97,CA,1620357440
30,New Norfolk,-42.7826,147.0587,71.01,73,97,1.01,AU,1620357393
31,Kapaa,22.0752,-159.319,75.99,83,75,10.36,US,1620357372
32,Mahébourg,-20.4081,57.7,69.8,100,75,3.44,MU,1620357385
33,Shahreza,32.0339,51.8794,64.08,30,17,2.71,IR,1620357503
34,Tamworth,52.634,-1.6959,39.0,85,50,5.01,GB,1620357503
35,Lucea,18.451,-78.1736,78.8,78,20,4.61,JM,1620357503
36,Harper,4.375,-7.7169,78.22,84,100,5.32,LR,1620357504
37,Golfito,8.639,-83.166,75.27,93,100,1.03,CR,1620357368
38,Ambanja,-13.6833,48.45,72.77,93,10,3.27,MG,1620357504
39,Aksu,41.1231,80.2644,75.27,11,100,0.56,CN,1620357367
40,Chui,-33.6971,-53.4616,52.83,76,90,8.72,UY,1620357504
41,Barrow,71.2906,-156.7887,14.0,79,1,5.75,US,1620357370
42,Atasū,48.6814,71.6433,63.82,42,100,8.19,KZ,1620357372
43,Świnoujście,53.9105,14.2471,36.0,87,97,7.54,PL,1620357370
44,Porto Velho,-8.7619,-63.9039,77.0,83,40,8.05,BR,1620357505
45,Arraial do Cabo,-22.9661,-42.0278,73.31,82,0,6.53,BR,1620357409
46,Avarua,-21.2078,-159.775,71.6,73,75,17.27,CK,1620357368
47,Pevek,69.7008,170.3133,30.18,81,8,3.29,RU,1620357446
48,Rome,43.2128,-75.4557,39.99,70,1,1.3,US,1620357506
49,Kumul,42.8,93.45,81.27,5,8,4.18,CN,1620357506
50,Thompson,55.7435,-97.8558,32.0,69,20,3.44,CA,1620357305
51,Vao,-22.6667,167.4833,76.44,75,79,10.45,NC,1620357506
52,Busselton,-33.65,115.3333,63.0,85,81,1.01,AU,1620357371
53,Madimba,-10.4,40.3333,71.22,71,100,14.61,TZ,1620357507
54,Hermanus,-34.4187,19.2345,59.0,97,100,4.0,ZA,1620357191
55,Airai,-8.9266,125.4092,67.91,77,98,2.64,TL,1620357438
56,Port Alfred,-33.5906,26.891,67.32,84,76,14.36,ZA,1620357386
57,Bemidji,47.4736,-94.8803,41.0,42,1,5.75,US,1620357261
58,Najrān,17.4924,44.1277,77.0,23,75,4.61,SA,1620357507
59,Cape Town,-33.9258,18.4232,60.01,94,75,14.97,ZA,1620357383
60,Sitka,57.0531,-135.33,51.8,76,90,6.91,US,1620357450
61,Jalu,29.0331,21.5482,85.28,11,23,10.04,LY,1620357417
62,Hofn,64.2539,-15.2082,33.33,59,25,11.79,IS,1620357508
63,Bluff,-46.6,168.3333,57.99,79,90,0.96,NZ,1620357366
